مەهاباد	هەولێر	سنە	سلێمانی	ستاندارد
چەند	چەند	چەن	چەن	چەند
وانێک	هەرامە	هین	هین	هین
هەموو	هەموو	گشت	هەموو	هەموو
خۆم	خۆم	خوەم	خۆم	خۆم
بەخودای	بەخوای	بەخوا	بەخوا	بەخوا
یاخودا	یاخوە	یاخوا	یاخوا	یاخوا
کەنگێ	کەنگی	کەی	کەی	کەی
جا	ئەوجا	جا	ئینجا	ئینجا
هەتا	هەتا	هەتا	هەتا	هەتا
ئەدی	ئەدی	ئەرێ	ئەرێ	ئەرێ
وەکوو	وەکی	وەک	وەک	وەکوو
چی	چی	چە	چی	چی
ئی	ئی	هین	هی	ئی
ئەدی	ئەدی	ئەی	ئەی	ئەی
کێهە	کێهە	کام	کام	کام
چەند	چەند	چەن	چەن	چەن
لە کۆ	کا	کوا	کوا	کوا
چۆن	کوو	چۆن	چۆن	چۆن
وا	وا	وا	وا	وا
دی	دیکە	تر	کە	دیکە
جا	ئەوجا	جا	جا	جا
چێ	چێ	چەس	چییە	چییە
کێ	کێ	کێ / کی	کێ	کێ
لە باتی	لە باتی	لە واتی	لە باتی	لە باتی
