مەهاباد	هەولێر	سنە	سلێمانی	ستاندارد	ڕۆڵی ڕێزمانی
نێو	ناو	ناو	ناو	ناو	ناو
خووشک	خوشک	خوێشک	خووشک	خووشک	ناو
هەتاو	ڕۆژ / تاو	خوەرەتاو	هەتاو	هەتاو	ناو
خێ	خێ	خوا	خوێ	خوێ	ناو
کچ	کچ	کەنیشک	کچ	کچ	ناو
مەلا	مەلا	مەڵا	مەلا	مەلا	ناو
خێن	خین	خوێن	خوێن	خوێن	ناو
زمان	زمان	زوان	زمان	زمان	ناو
بووک	بووک	وەوی	بووک	بووک	ناو
زاوا	زاوا	زاوا	زاوا	زاوا	ناو
داوەت	حەفلە	زەماوەن	حەفلە	زەماوەند	ناو
پرسە	پرسە	پرسە	پرسە	پرسە	ناو
منداڵ	مندار	مناڵ	مناڵ	منداڵ	ناو
جووشک	ژیشک	ژژوو	ژیشک	جووشک	ناو
خاڵ	خار	خاڵۆ	خاڵ	خاڵ	ناو
مام	مام	مامۆ	مام	مام	ناو
مەگیرانی	ئیشتیا	بێزگ	بێزوو	بێزوو	ناو
مامۆستا	مامۆستا	مامۆسا	مامۆستا	مامۆستا	ناو
دەست	دەست	دەس	دەس	دەست	ناو
گۆ	گێ	گوێچکە	گوێ	گوێ	ناو
کابرا	کابرا	کاورا	کابرا	کابرا	ناو
شڵتاغ	تەشقەرە	تەشقەڵە	تەشقەڵە	تەشقەڵە	ناو
باران	باران	باران	باران	باران	ناو
بەفر	بەفر	بەفر	بەفر	بەفر	ناو
کوند	کوندەبەبوو / کوندەپەپۆ	بایەقوژ	بایەقوش	بایەقوژ	ناو
عەڕەبی / حەرەبی	عەرەبی / حەرەبی	عەرەبی	عەرەبی	عەرەبی	ناو
ئەشکەوت	ئەشکەفت	ئەشکەفت	ئەشکەوت	ئەشکەوت	ناو
مزگەوت	مزگەفت	مزگت	مزگەوت	مزگەوت	ناو
گزیر	گزیر	گزیر	گزیر	گزیر	ناو
سەرپشک	سەرپشک	سەرپشک	سەرپشک	سەرپشک	ناو
سەرانگۆلک / قەڵاخ	سڕ	کۆشکەڵان	کۆشکەڵان	کۆشکەڵان	ناو
گوڵەپێغەمبەرە	گەنمەشامی	گەنمەشامی	گەنمەشامی / گەرمەشامی	گەنمەشامی	ناو
بالنگ	بالیف	سەنیا	سەرین	سەرین	ناو
سێڵ	سێر	ساج	ساج	ساج	ناو
مەڕ	مەڕ	پەز / مەڕ	مەڕ	مەڕ	ناو
وێڵاش	وێڵاش	پەڕۆڵک	وێڵاش	وێڵاش	ناو
کەپۆ	کەپوو	لووت	لووت	لووت	ناو
دم / زار	دم / دەو	دەم	دەم	دەم	ناو
پێ	پێ	پا	پێ	پێ	ناو
لاق	لاق	لاق	لاق	لاق	ناو
 مەڵاشوو	مەراشوو	مەڵاژگ	مەڵاشوو	مەڵاشوو	ناو
قامیش	قامیش	قامیش	قامیش	قامیش	ناو
چۆلەکە	کێشکە	مەلووچک	چۆلەکە	چۆلەکە	ناو
هەوێردە	سوسکە	کەڕەواڵە	کەڕەواڵە	کەڕەواڵە	ناو
باڵندە	بارندە / تەیر	پەلەوەر	باڵندە / تەیر	باڵندە	ناو
هەڵمات	کەلا	هەڵمات	هەڵمات	هەڵمات	ناو
نێوچاوان	نێوچاوان	توێڵ	توێڵ	توێڵ	ناو
هێلکە	هێلکە	هیلکە	هێلکە	هێلکە	ناو
پیاو	پیاو	پیاگ	پیاو	پیاو	ناو
داک	داک	دایک	دایک	دایک	ناو
ڕاست	ڕاست	ڕاس	ڕاس	ڕاست	ناو
باب	باب	باوک	باوک	باوک	ناو
پێست	پێست	پێس / پۆس	پێست	پێست	ناو
قوڕ	قوڕ	هەڕگ / قوڕ	قوڕ	قوڕ	ناو
ئێستا	ئێستا	ئیسە	ئێسا	ئێستا	ناو
شت	تشت	چت	شت	شت	ناو
ژن	ژن	ژن	ژن	ژن	ناو
ڕاست	ڕاست	ڕاس	ڕاس	ڕاس	ناو
قوشقی	گێقوراخ	گوێقوڵاخ	گوێقوڵاخ	گوێقوڵاخ	ناو
کەو	کەو	کەو	کەو	کەو	ناو
خاسەکەو	خاسەکەو	خاسەکەو	خاسەکەو	خاسەکەو	ناو
سوێسکە	سوێسکە	زڕەکەو	سوێسکە	زڕەکەو	ناو
مانگ	مانگ	مانگ	مانگ	مانگ	ناو
سەهۆڵ	بووس	سەهۆڵ / یەخ	سەهۆڵ	سەهۆڵ	ناو
ئەستێرە	ئەستێرە	هەسارە	ئەستێرە	ئەستێرە	ناو
با	با	با	با	با	ناو
تەم	تەم	تەم / مژ	تەم	تەم	ناو
هەور	هەور	هەور	هەور	هەور	ناو
تەشی	تەشی	تەشی	تەشی	تەشی	ناو
تۆز	تۆز	تۆز	تۆز	تۆز	ناو
ئەنگووتک	ئەنگووتک / هەنگووتک	گونک	گونک	ئەنگووتک	ناو
سێڵاو	لافاو	لافاو	لافاو	سێڵاو	ناو
برووسکە	برووسک	هەورەتریشقە	هەورەتریشقە	هەورەتریشقە	ناو
ئاور	ئاگر	ئاگر	ئاگر	ئاگر	ناو
هەرەوەز	هەرەوەز	هەرەوەز	هەرەوەز	هەرەوەز	ناو
هەوێن	هەوێن	ئامیان / ئامێژەنگ	ئامیان	هەوێن	ناو
ورە	ورە	ورە	ورە	ورە	ناو
خەرمانە	خەرمانە	خەرمانە	خەرمانە	خەرمانە / ئاخڵە	ناو
فوودانە	دەبدەبە	تیزانگ	میزەڵان	میزەڵان	ناو
میزڵدان	میزڵدان	میزەڵان	میزەڵان	میزڵدان	ناو
نێوک	ناوک	ناوک	ناوک	ناوک	ناو
هوڵوو	خۆخ	هەشتاڵوو / قۆخ	قۆخ	قۆخ	ناو
گێزەر	گێزەر	هەویج / گزەر	گێزەر	گێزەر	ناو
کیسەڵ	کیسەر	کیسەڵ	کیسەڵ	کیسەڵ	ناو
ڕەژی	ڕەژوو	زوخاڵ	خەڵووز	خەڵووز	ناو
ڕاو	ڕاو	ڕاو	ڕاو	ڕاو	ناو
مریشک	مریشک	مامر	مریشک	مریشک	ناو
شووتی	شفتی	شامی / هەنی	شووتی	شووتی	ناو
هەژار	هەژار	هەژار	هەژار	هەژار	ئاوەڵناو
توونی	تێنی	تینگ	تینوو	تینوو	ئاوەڵناو
برسی	برسی	برسی	برسی	برسی	ئاوەڵناو
تووکن	تووکن	تووکن	تووکن	تووکن	ئاوەڵناو
گەورە	گەورە	گەورە	گەورە	گەورە	ئاوەڵناو
بچووک	گچکە	بووچک	بچووک	بچووک	ئاوەڵناو
جوان	جوان	زەریف / جوان	جوان	جوان	ئاوەڵناو
جەوان	گەنج	جوان	گەنج	لاو	ئاوەڵناو
درێژ	درێژ	درێژ	درێژ	درێژ	ئاوەڵناو
قورس	قورس	قورس	قورس	قورس	ئاوەڵناو
سوێر	سوور	سۆڵ / شۆر	سوێر	سۆڵ	ئاوەڵناو
ترش	ترش	تورش	ترش	ترش	ئاوەڵناو
مزر	مزر	مزر	مزر	مزر	ئاوەڵناو
خۆش	خۆش	خوەش	خۆش	خۆش	ئاوەڵناو
دیکە	دیکە	تر	کە	دیکە	ئاوەڵناو
چاک	چاک	خاس 	چاک	چاک	ئاوەڵناو
زۆر	زۆر	فرە	زۆر	زۆر	ئاوەڵناو
تاڵ	تار	تاڵ	تاڵ	تاڵ	ئاوەڵناو
بڵیند	برند	بەرز	بەرز	بڵیند	ئاوەڵناو
بەرز	بەرز	بەرز	بەرز	بەرز	ئاوەڵناو
پان	پان	پان	پان	پان	ئاوەڵناو
تەسک	تەسک	تەنگ / تەسک	تەسک	تەسک	ئاوەڵناو
ناسک	ناسک	ناسک	ناسک	ناسک	ئاوەڵناو
ئاسان	ئاسان	ئاسان	ئاسان	ئاسان	ئاوەڵناو
سووک	سووک	سۆک	سووک	سووک	ئاوەڵناو
خراپ	خراپ	خراو	خراپ	خراپ	ئاوەڵناو
تیژ	تیژ	تیژ	تیژ	تیژ	ئاوەڵناو
کول	کۆر	کول	کول	کول	ئاوەڵناو
پڕ	پڕ	پڕ	پڕ	پڕ	ئاوەڵناو
تازە	تازە	تازە	تازە	تازە	ئاوەڵناو
پاک	پاک	پاک	پاک	پاک	ئاوەڵناو
چۆڵ / چۆل	چۆل	چۆڵ	چۆڵ	چۆڵ	ئاوەڵناو
کورت	کورت	کورت / کۆتا	کورت	کورت	ئاوەڵناو
کەڵەگەت	کەرەگەت	کەڵەگەت	کەڵەگەت	کەڵەگەت	ئاوەڵناو
جوان	جوان	جوانباش / جوانخاس	جوانباش	جوانباش	ئاوەڵناو
ئەوڕۆ	ئەوڕۆ	ئیمڕۆ	ئەمڕۆ	ئەمڕۆ	ئاوەڵناو
دوێنێ	دوونێ	دوێکە	دوێنێ	دوێنێ	ئاوەڵناو
پارەکە	پار	پارەکە	پار	پارەکە	ئاوەڵناو
سبەینێ	سبەینێ / سبیانێ	سۆزی	سبەینێ	سبەینێ	ئاوەڵناو
دووسبەی	دووزبەی	دووسۆ	دووسبەی	دووسبەی	ئاوەڵناو
پێرێ	پێرێ	پێرەکە	پێرێ	پێرێ	ئاوەڵناو
بەسرپێرێ	بەسترپێرێ	پەسەرپێرەکە	پەسرپێرێ	بەسرپێرێ	ئاوەڵناو
شین	کەسک	سەوز	سەوز	سەوز	ئاوەڵناو
شین	شین	ئاوی / کەوگ	شین	شین	ئاوەڵناو
سارد	سارد	سەرد / سارد	سارد	سارد	ئاوەڵناو
گەرم	گەرم	گەرم	گەرم	گەرم	ئاوەڵناو
شێتین	شیرتێن	شیتین	شلەتێن	شێتین	ئاوەڵناو
داخ	داخ	داخ	داخ	داخ	ئاوەڵناو
بەڵەک	بەرەک	بەڵەک	بەڵەک	بەڵەک	ئاوەڵناو
سوور	سۆر	سوور	سوور	سوور	ئاوەڵناو
سپی	سپی	چەرمگ / چەرمۆ	سپی	سپی	ئاوەڵناو
ئەمن	ئەمن	من	من	من	جێناو
ئەتۆ	ئەتوو	تۆ	تۆ	تۆ	جێناو
ئەو	ئەو	ئەو	ئەو	ئەو	جێناو
ئەمە	ئەمە	ئێمە	ئێمە	ئێمە	جێناو
ئەنگۆ	ئەنگۆ	ئێوە	ئێوە	ئێوە	جێناو
ئەوان	ئەوان	ئەوان	ئەوان	ئەوان	جێناو
ئەمەمانان	∅	ئێمەگەل	ئێمەومانان	ئێمەمانان	جێناو
